,Company,Ticker
633,Omnicom Group,OMC
634,ON Semiconductor,ON
635,OneMain Financial,OMF
636,Oneok,OKE
637,Oracle Corporation,ORCL
638,Oshkosh Corporation,OSK
639,Otis Worldwide,OTIS
640,Outfront Media,OUT
641,Owens Corning,OC
642,Owens Illinois,OI
643,Paccar,PCAR
644,Packaging Corporation of America,PKG
645,Pacwest Bancorp,PACW
646,Palo Alto Networks,PANW
647,Paramount Group,PGRE
648,Park Hotels & Resorts,PK
649,Parker Hannifin,PH
650,Parsley Energy,PE
651,Patterson-UTI,PTEN
652,Paychex,PAYX
653,Paycom,PAYC
654,PayPal,PYPL
655,NextEra Energy,NEE
656,Nielsen Holdings,NLSN
657,"Nike, Inc.",NKE
658,Nisource,NI
659,Nordson Corporation,NDSN
660,PepsiCo,PEP
661,PerkinElmer,PKI
662,Perrigo,PRGO
663,Pfizer,PFE
664,PG&E,PCG
665,Philip Morris International,PM
666,Phillips 66,PSX
667,Pilgrim's Pride,PPC
668,Pinnacle Financial Partners,PNFP
669,Pinnacle Foods,PF
670,Pinnacle West Capital,PNW
671,Pioneer Natural Resources,PXD
672,Element Solutions,ESI
673,PNC Financial Services,PNC
674,Polaris Industries,PII
675,Pool Corporation,POOL
676,"Popular, Inc.",BPOP
677,Post Holdings,POST
678,PPG Industries,PPG
679,PPL,PPL
680,PRA Health Sciences,PRAH
681,Premier,PINC
682,T. Rowe Price,TROW
683,Principal Financial Group,PFG
684,Procter & Gamble,PG
685,Progressive Corporation,PGR
686,Prologis,PLD
687,"Proofpoint, Inc.",PFPT
688,Prosperity Bancshares,PB
689,Prudential Financial,PRU
690,PTC,PTC
691,Public Storage,PSA
692,Public Service Enterprise Group,PEG
693,PulteGroup,PHM
694,Pure Storage,PSTG
695,PVH,PVH
696,Qiagen,QGEN
697,Qorvo,QRVO
698,Qualcomm,QCOM
699,Quanta Services,PWR
700,PBF Energy,PBF
701,Pegasystems,PEGA
702,Penske Automotive Group,PAG
703,Pentair,PNR
704,"Penumbra, Inc.",PEN
705,People's United Financial,PBCT
706,Realogy,RLGY
707,RealPage,RP
708,Realty Income,O
709,Regal Beloit,RBC
710,Regency Centers,REG
711,Regeneron Pharmaceuticals,REGN
712,Regions Financial,RF
713,Reinsurance Group of America,RGA
714,Reliance Steel & Aluminum Co.,RS
715,RenaissanceRe,RNR
716,Republic Services,RSG
717,Resmed,RMD
718,"Retail Properties of America, Inc.",RPAI
719,RingCentral,RNG
720,Robert Half International,RHI
721,Rockwell Automation,ROK
722,"Rollins, Inc.",ROL
723,Roper Technologies,ROP
724,Ross Stores,ROST
